address,city,price,sqft,lot_sqft,lot_sqft_ratio,existing_adu,Jurisdiction,Description,New_Class,has_zoning,jurisdiction_type
15227 Graystone Ave,Norwalk,869000,1145.0,5068.0,4.426200873362445,1,Norwalk,Single-Family Residential,Suburban residential,True,Incorporated
1303 N Merona St,Anaheim,898000,1278.0,7039.0,5.507824726134586,1,Anaheim,RS-2,Suburban residential,True,Incorporated
22849 Leadwell St,West Hills,830000,1299.0,7499.0,5.772902232486528,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
11373 Rampart Dr,Dublin,1590000,2262.0,13328.0,5.892130857648099,0,Dublin,R-1,Suburban residential,True,Incorporated
5841 Arroyo Dr,Los Angeles,1148000,1260.0,5564.0,4.415873015873016,0,Los Angeles,RESIDENTIAL,Multi-family,True,Incorporated
1732 Newport Ave,Pasadena,1165000,1420.0,5421.0,3.817605633802817,0,Pasadena,Single-Family Residential,Suburban residential,True,Incorporated
561 Culp Ave,Hayward,725000,992.0,5100.0,5.141129032258065,0,Hayward,Single Family Residential - Min. Lot Size - 5000 Sq Ft,Urban residential,True,Incorporated
5712 Grandview Ave,Yorba Linda,1699900,2050.0,15875.0,7.7439024390243905,0,Yorba Linda,Residential Estate,Suburban residential,True,Incorporated
6382 Cayuga Dr,Westminster,995000,1237.0,7416.0,5.995149555375909,0,Westminster,R1 (Single-Family Residential) District,Suburban residential,True,Incorporated
2035 Litchfield Ave,Long Beach,849000,979.0,7879.0,8.048008171603676,0,Long Beach,R-1-N,Suburban residential,True,Incorporated
36686 Charles St,Newark,1028888,1190.0,5500.0,4.621848739495798,1,Newark,Low Density Residential - 6000 District,Suburban residential,True,Incorporated
5846 Cold Water Dr,Castro Valley,1325000,1723.0,16646.0,9.661056297156122,0,ALA,Single Family Residential,Suburban residential,True,Incorporated
82 Hollywood Ave,San Jose,1288000,1956.0,5922.0,3.0276073619631902,1,San Jose,R-2,Urban residential,True,Incorporated
11926 Kathyann St,Sylmar,1200000,1683.0,7576.0,4.501485442661913,1,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
124 S Beachwood Dr,Burbank,1350000,1750.0,6752.0,3.858285714285714,1,Burbank,(R-1) Residential Single Family,Suburban residential,True,Incorporated
4321 Apricot Rd,Simi Valley,949000,1367.0,10018.0,7.328456474030724,1,Simi Valley,RESIDENTIAL MEDIUM DENSITY,Suburban residential,True,Incorporated
337 N 3rd St,Montebello,919999,1468.0,6236.0,4.247956403269755,1,Montebello, ,Multi-family,True,Incorporated
1803 Bucknall Rd,Campbell,1950000,2319.0,8100.0,3.4928848641655885,0,Campbell,Medium Density Residential ,Multi-family,True,Incorporated
227 W Fairview Blvd,Inglewood,850000,1178.0,6771.0,5.747877758913413,0,Inglewood,RES SINGLE FAMILY,Suburban residential,True,Incorporated
3613 Potrero Dr,Fullerton,1200000,1816.0,15606.0,8.593612334801762,1,Fullerton,"R-1-20 One-Family Residential (20,000 SF min. lot size)",Suburban residential,True,Incorporated
2230 Crocker Way,Santa Clara,1999000,1689.0,8040.0,4.760213143872114,0,Santa Clara,R1-6L,Suburban residential,True,Incorporated
6290 Lillian Way,San Jose,1699950,1468.0,6000.0,4.087193460490464,0,San Jose,R-1-8,Suburban residential,True,Incorporated
17025 Labrador St,Northridge,1275000,2106.0,13855.0,6.578822412155746,0,Los Angeles,AGRICULTURE,Suburban residential,True,Incorporated
30 LA Cuesta Rd,Orinda,1599000,2486.0,12000.0,4.8270313757039425,1,Orinda,RL-20,Suburban residential,True,Incorporated
5785 Bertrand Ave,Encino,1350000,1615.0,5617.0,3.4780185758513933,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
7506 Amarillo Rd,Dublin,1649000,1948.0,8094.0,4.155030800821355,0,Dublin,R-1,Suburban residential,True,Incorporated
819 Wall St,Livermore,1250000,1676.0,6900.0,4.116945107398568,1,Livermore,Residential,Suburban residential,True,Incorporated
543 Grizzly Peak Blvd,Berkeley,995000,1578.0,5029.0,3.1869455006337137,0,Berkeley,R-1H,Urban residential,True,Incorporated
91 Tunnel Rd,Berkeley,2200000,2048.0,8820.0,4.306640625,0,Berkeley,R-1H,Urban residential,True,Incorporated
13345 Burbank Blvd,Van Nuys,1100000,1161.0,6719.0,5.787252368647717,1,Los Angeles,RESIDENTIAL,Multi-family,True,Incorporated
7722 Park McComber Cir,Buena Park,1086550,1550.0,8540.0,5.509677419354839,0,Buena Park,"6,000 sq. ft. One Family Residential",Suburban residential,True,Incorporated
12744 El Dorado Ave,Sylmar,780000,1078.0,5500.0,5.1020408163265305,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
2511 Nipomo Ave,Long Beach,1250000,1366.0,5087.0,3.724011713030747,0,Long Beach,R-1-N,Suburban residential,True,Incorporated
719 S Amstutz Ave,Anaheim,879000,1218.0,5101.0,4.1880131362889985,1,Anaheim,RS-2,Suburban residential,True,Incorporated
35922 Rosewood Dr,Newark,1249950,1336.0,6000.0,4.491017964071856,0,Newark,Low Density Residential - 6000 District,Suburban residential,True,Incorporated
1359 Rudgear Rd,Walnut Creek,1099000,1813.0,20700.0,11.41753998896856,1,Walnut Creek,R20,Suburban residential,True,Incorporated
2108 Raleigh Ave,Costa Mesa,1239000,1200.0,6120.0,5.1,0,Costa Mesa,R1,Suburban residential,True,Incorporated
819 S Courson Dr,Anaheim,1075000,1691.0,7200.0,4.257835600236547,0,Anaheim,RS-2,Suburban residential,True,Incorporated
14214 Lucian Ave,San Jose,888000,848.0,5700.0,6.721698113207547,0,SCL,R1,Suburban residential,True,Incorporated
1231 Sheppard Dr,Fullerton,1490000,1901.0,11616.0,6.110468174644923,0,Fullerton,"R-1-10 One-Family Residential (10,000 SF min. lot size)",Suburban residential,True,Incorporated
2280 Zoria Cir,San Jose,1490000,1530.0,6000.0,3.9215686274509802,0,San Jose,R-1-8,Suburban residential,True,Incorporated
4400 Sandalwood Dr,Pleasanton,1899000,2232.0,7884.0,3.532258064516129,0,Pleasanton,Single Family Residential,Suburban residential,True,Incorporated
1847 W Flower Ave,Fullerton,926500,1311.0,6240.0,4.759725400457666,0,Fullerton,"R-1-6 One-Family Residential (6,000 SF min. lot size)",Suburban residential,True,Incorporated
2925 Dona Susana Dr,Studio City,2355000,2404.0,11166.0,4.644758735440932,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
1548 San Gabriel Way,San Jose,2499000,2230.0,7952.0,3.565919282511211,0,San Jose,R-1-5,Suburban residential,True,Incorporated
903 Michigan Ave,San Jose,1988000,1804.0,6550.0,3.630820399113082,1,San Jose,R-1-8,Suburban residential,True,Incorporated
10839 Danube Ave,Granada Hills,889800,1374.0,7715.0,5.614992721979622,1,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
5677 Slicers Cir,Agoura Hills,895000,1218.0,5252.0,4.3119868637110015,0,Agoura Hills,RM,Multi-family,True,Incorporated
2108 N Rosewood Ave,Santa Ana,1249000,1705.0,7811.0,4.581231671554252,0,Santa Ana,Single-Family Residence,Suburban residential,True,Incorporated
11721 Dale St,Garden Grove,894999,1288.0,7312.0,5.6770186335403725,1,ORA,Single-Family Residence,Suburban residential,True,Incorporated
10721 Landale St,Toluca Lake,1095000,1210.0,7497.0,6.195867768595042,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
2707 Windsor Ave,Altadena,950000,1425.0,7317.0,5.134736842105263,0,Pasadena,Single-Family Residential,Suburban residential,True,Incorporated
7845 5th St,Downey,1499999,2091.0,9424.0,4.506934481109517,0,Downey, ,Urban residential,True,Incorporated
1613 Union St,Alameda,1098000,1223.0,5400.0,4.415372035977105,0,Alameda,R-5,Multi-family,True,Incorporated
7672 Sunside Dr,San Gabriel,829000,1071.0,6571.0,6.135387488328665,1,LAN,Light Agricultural,Exurban residential,True,Incorporated
2647 Hawthorne Ave,Hayward,940000,1228.0,5600.0,4.5602605863192185,1,Hayward,Single Family Residential - Min. Lot Size - 5000 Sq Ft,Urban residential,True,Incorporated
137 Neptune Pl,San Ramon,775000,1165.0,5400.0,4.635193133047211,0,San Ramon,ZM-RS-6,Suburban residential,True,Incorporated
20717 Burbank Blvd,Woodland Hills,1025000,1404.0,8210.0,5.847578347578348,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
8120 E Woodson St,Long Beach,779000,1064.0,6289.0,5.910714285714286,0,Long Beach,R-1-N,Suburban residential,True,Incorporated
4697 Canary Dr,Pleasanton,1799000,1923.0,7214.0,3.7514300572022883,0,Pleasanton,Single Family Residential,Suburban residential,True,Incorporated
7822 Peach Ave,Van Nuys,959000,1338.0,8075.0,6.035127055306427,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
1100 N Vinedo Ave,Pasadena,1399800,1393.0,7027.0,5.044508255563532,0,Pasadena,Single-Family Residential,Suburban residential,True,Incorporated
5629 Graywood Ave,Lakewood,899950,1456.0,5132.0,3.5247252747252746,0,Lakewood,R-1,Urban residential,True,Incorporated
5179 Pebbletree Ct,San Jose,1263000,1089.0,6440.0,5.913682277318641,0,San Jose,R-1-8,Suburban residential,True,Incorporated
2006 W Wilshire Ave,Santa Ana,850000,1071.0,6001.0,5.603174603174603,0,Santa Ana,Single-Family Residence,Suburban residential,True,Incorporated
6700 Densmore Ave,Van Nuys,799000,1170.0,5766.0,4.9282051282051285,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
1923 S Janette Ln,Anaheim,1250000,1857.0,8415.0,4.531502423263328,0,Anaheim,RS-2,Suburban residential,True,Incorporated
3665 Warwick Rd,Fremont,1650000,1624.0,6573.0,4.047413793103448,0,Fremont,R-1-6,Suburban residential,True,Incorporated
1901 N Bellflower Blvd,Long Beach,1095000,1335.0,6288.0,4.710112359550561,0,Long Beach,R-1-N,Suburban residential,True,Incorporated
34264 Atteridge Pl,Fremont,1788800,1728.0,6188.0,3.5810185185185186,0,Fremont,R-1-6,Suburban residential,True,Incorporated
522 N Clark St,Orange,850000,1146.0,6408.0,5.591623036649215,0,Orange,Residential Multiple Family,Multi-family,True,Incorporated
14463 San Esteban Dr,La Mirada,799000,1161.0,6904.0,5.946597760551249,0,La Mirada, ,Urban residential,True,Incorporated
3868 Orion Ct,Pleasanton,2050000,2480.0,8735.0,3.5221774193548385,0,Pleasanton,Planned Unit Development - Medium Density Residential,Planned area,True,Incorporated
7660 Applewood Way,Pleasanton,1399999,1680.0,8880.0,5.285714285714286,0,Pleasanton,Single Family Residential,Suburban residential,True,Incorporated
1316 E Romneya Dr,Anaheim,889000,1320.0,6003.0,4.547727272727273,0,Anaheim,RS-2,Suburban residential,True,Incorporated
22046 Buena Ventura St,Woodland Hills,999000,1418.0,6284.0,4.431593794076163,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
3125 Oakgate Way,San Jose,1649999,1632.0,6137.0,3.7604166666666665,0,San Jose,R-1-8,Suburban residential,True,Incorporated
4124 Sunswept Dr,Studio City,1700000,1786.0,17559.0,9.831466965285554,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
35225 Santiago St,Fremont,1288888,1108.0,6056.0,5.465703971119134,0,Fremont,R-1-6,Suburban residential,True,Incorporated
1420 Pinehurst Dr,San Jose,1750000,1686.0,6745.0,4.000593119810202,0,San Jose,R-1-8,Suburban residential,True,Incorporated
21683 Summit Rd,Los Gatos,835000,1135.0,5989.0,5.276651982378855,0,SCL,HS-sr,Rural residential,True,Incorporated
1820 Alsace Ave,Los Angeles,1575000,1628.0,5517.0,3.388820638820639,1,Los Angeles,RESIDENTIAL,Multi-family,True,Incorporated
946 Larker Ave,Los Angeles,1450000,1575.0,6002.0,3.810793650793651,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
460 Collinwood Ct,Santa Clara,1398000,1312.0,6000.0,4.573170731707317,0,Santa Clara,R1-6L,Suburban residential,True,Incorporated
1118 Zinfandel Way,San Jose,1998000,2083.0,8050.0,3.8646183389342297,0,San Jose,R-1-5,Suburban residential,True,Incorporated
3223 Washington Ave,El Monte,850000,1380.0,8673.0,6.284782608695652,1,El Monte,R-1A,Suburban residential,True,Incorporated
28904 Timberlane St,Agoura Hills,1495000,1722.0,6882.0,3.9965156794425085,0,Agoura Hills,RS (5)7000,Suburban residential,True,Incorporated
721 Sinnet Ct,Danville,1798000,1735.0,8800.0,5.072046109510087,0,Danville,Single Family Residential - Medium Density (3 to 5 Units per acre),Suburban residential,True,Incorporated
444 Cabonia Ct,Pleasanton,2199000,2296.0,8740.0,3.8066202090592336,0,Pleasanton,Agriculture/Open Space/Low Density Residential-PUD,Agricultural,True,Incorporated
3176 Jordan Rd,Oakland,725000,1102.0,6594.0,5.983666061705989,0,Oakland,RD-1,Urban residential,True,Incorporated
20401 Napa St,Winnetka,899900,1225.0,7814.0,6.378775510204082,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
473 Andrea Cir,Livermore,948000,1468.0,5100.0,3.474114441416894,0,Livermore,Planned Development,Planned area,True,Incorporated
5933 Dunn Ave,San Jose,1649000,1826.0,6344.0,3.4742606790799564,0,San Jose,R-1-8,Suburban residential,True,Incorporated
17035 Copper Hill Dr,Morgan Hill,1399000,2043.0,22799.0,11.159569260890846,0,Morgan Hill,"RDL 20,000",Suburban residential,True,Incorporated
6667 Royer Ave,West Hills,1379777,1661.0,7621.0,4.588199879590608,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
8460 Valencia St,Dublin,1188000,1321.0,6999.0,5.298258894776684,0,Dublin,R-1,Suburban residential,True,Incorporated
125 Magellan Ave,San Jose,969888,993.0,5250.0,5.287009063444109,0,San Jose,R-1-8,Suburban residential,True,Incorporated
1754 Perch St,San Pedro,1449000,2059.0,7082.0,3.4395337542496356,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
211 E Virginia Ave,Glendora,999999,1664.0,7004.0,4.209134615384615,0,Glendora, ,Suburban residential,True,Incorporated
5403 W 123rd Pl,Hawthorne,990000,1111.0,5473.0,4.9261926192619265,1,LAN,Single-Family Residence,Suburban residential,True,Incorporated
5629 Judith St,San Jose,1535989,1822.0,6510.0,3.5729967069154775,0,San Jose,R-1-8,Suburban residential,True,Incorporated
6022 Larchwood Dr,Huntington Beach,1399000,1681.0,6120.0,3.64069006543724,0,Huntington Beach,Residential Low Density,Suburban residential,True,Incorporated
30605 Rue De La Pierre,Rancho Palos Verdes,2100000,2065.0,15340.0,7.428571428571429,0,Rancho Palos Verdes,Residential Single - Lot > 10;000 Square Feet,Suburban residential,True,Incorporated
41 E Bonita Ave,Sierra Madre,1695000,1891.0,13577.0,7.179799048122686,0,Sierra Madre, ,Suburban residential,True,Incorporated
4103 Palo Verde Ave,Lakewood,950000,1316.0,7155.0,5.436930091185411,0,Lakewood,R-1,Urban residential,True,Incorporated
4544 Thornton Ave,Fremont,2000000,1968.0,11510.0,5.848577235772358,1,Fremont,R-3-18,Multi-family,True,Incorporated
917 N Olive Ave,Alhambra,1560000,1985.0,7882.0,3.9707808564231737,0,Alhambra,R-1,Suburban residential,True,Incorporated
12681 Amethyst St,Garden Grove,1148800,1486.0,6000.0,4.037685060565276,0,Garden Grove,Single-Family Residential Zone,Suburban residential,True,Incorporated
2164 Nelda Way,Alamo,1995000,2443.0,30450.0,12.464183381088825,0,CCO,Single Family Residential,Suburban residential,True,Incorporated
1519 W 111th St,Los Angeles,735000,1110.0,5239.0,4.71981981981982,0,LAN,Specific Plan,Planned area,True,Incorporated
5857 Blossom Ave,San Jose,1399888,1347.0,6000.0,4.4543429844097995,0,San Jose,R-1-8,Suburban residential,True,Incorporated
39 Norwood Ave,Kensington,1298000,1954.0,7350.0,3.7615148413510746,0,CCO,Single Family Residential Tree Obstruction of View Ordinance and Kensington Combining District,Suburban residential,True,Incorporated
2466 Saint Lawrence Dr,San Jose,1788888,1584.0,6534.0,4.125,0,San Jose,R-1-8,Suburban residential,True,Incorporated
1121 Gladys Ave,Long Beach,815000,1325.0,6501.0,4.906415094339622,1,Long Beach,R-2-N,Urban residential,True,Incorporated
4202 Grove Ct,Livermore,1750000,2320.0,9155.0,3.9461206896551726,0,Livermore,Planned Development,Planned area,True,Incorporated
5 Stuart Pl,Danville,1769000,2484.0,8400.0,3.3816425120772946,1,Danville,Planned Unit District,Planned area,True,Incorporated
6632 Spruce Ln,Dublin,1145000,1268.0,5399.0,4.257886435331231,0,Dublin,R-1,Suburban residential,True,Incorporated
10941 Peach Grove St,Toluca Lake,1395000,2008.0,7705.0,3.837151394422311,0,Los Angeles,RESIDENTIAL,Multi-family,True,Incorporated
2175 Lariat Ln,Walnut Creek,1498000,2220.0,13818.0,6.224324324324324,1,Walnut Creek,PD,Planned area,True,Incorporated
1393 West St,Hayward,930000,1372.0,6177.0,4.502186588921282,0,Hayward,Single Family Residential - Min. Lot Size - 5000 Sq Ft,Urban residential,True,Incorporated
3522 Potomac Ave,Los Angeles,1595000,1650.0,6001.0,3.636969696969697,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
1145 Mandana Blvd,Oakland,1578000,2302.0,8745.0,3.7988705473501305,0,Oakland,RD-1,Urban residential,True,Incorporated
5491 Fernwood Dr,Newark,1095000,1080.0,6000.0,5.555555555555555,0,Newark,Low Density Residential - 6000 District,Suburban residential,True,Incorporated
237 Taurus Ave,Oakland,850000,1216.0,12197.0,10.030427631578947,0,Oakland,RH-4,Suburban residential,True,Incorporated
3076 Baronscourt Way,San Jose,1520000,1806.0,5663.0,3.135658914728682,0,San Jose,R-1-8,Suburban residential,True,Incorporated
27056 Shorewood Rd,Rancho Palos Verdes,1650000,1713.0,9219.0,5.381786339754816,0,Rancho Palos Verdes,Residential Single - Lot > 8;000 Square Feet,Suburban residential,True,Incorporated
170 W Linden Ave,Burbank,1125000,1328.0,10144.0,7.63855421686747,1,Burbank,(R-3) Residential Multiple Low Density,Multi-family,True,Incorporated
38824 Jonquil Dr,Newark,1499000,1899.0,9085.0,4.7840968931016326,0,Newark,Low Density Residential - 7000 District,Suburban residential,True,Incorporated
1568 Clayton Rd,San Jose,888520,1293.0,8040.0,6.218097447795824,1,San Jose,R-1-5,Suburban residential,True,Incorporated
11418 Betlen Dr,Dublin,1650000,2220.0,10154.0,4.573873873873874,0,Dublin,R-1,Suburban residential,True,Incorporated
1626 Grove Pl,Fullerton,1100000,1636.0,7258.0,4.43643031784841,0,Fullerton,"R-1-7.2 One-Family Residential (7,200 SF min. lot size)",Suburban residential,True,Incorporated
2365 Las Lunas St,Pasadena,1499995,1808.0,8702.0,4.813053097345133,0,Pasadena,Single-Family Residential,Suburban residential,True,Incorporated
14259 Hatteras St,Van Nuys,1499000,2412.0,9135.0,3.787313432835821,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
3136 Frances Ave,La Crescenta,1375000,1718.0,10591.0,6.164726426076833,0,LAN,Single-Family Residence,Suburban residential,True,Incorporated
10181 Lampson Ave,Garden Grove,1159000,1713.0,8400.0,4.903677758318739,1,Garden Grove,Multiple Family Residential,Multi-family,True,Incorporated
1465 Mount Shasta Dr,San Jose,1100000,1198.0,5300.0,4.424040066777963,0,San Jose,R-1-8,Suburban residential,True,Incorporated
3588 Helms Ave,Culver City,1465000,1256.0,5402.0,4.300955414012739,1,Culver City,R2,Urban residential,True,Incorporated
8831 Stansbury Ave,Panorama City,760000,1014.0,6208.0,6.122287968441815,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
4220 Bellaire Ave,Studio City,1898000,1931.0,7108.0,3.680994303469705,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
1356 N Avenue 46,Los Angeles,1450000,1336.0,8730.0,6.5344311377245505,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
1612 Peachwood Dr,San Jose,1395000,1497.0,6000.0,4.008016032064128,0,San Jose,R-1-8,Suburban residential,True,Incorporated
1538 Simmons Ave,Los Angeles,850000,880.0,5576.0,6.336363636363636,0,LAN,Limited Density Multiple Residence,Multi-family,True,Incorporated
5991 Sorrel Ave,San Jose,1600000,1952.0,6120.0,3.1352459016393444,0,San Jose,R-1-8,Suburban residential,True,Incorporated
5240 Ramsdell Ave,La Crescenta,1595000,2226.0,14343.0,6.443396226415095,1,LAN,Single-Family Residence,Suburban residential,True,Incorporated
2205 Las Lunas St,Pasadena,1730000,1950.0,8712.0,4.467692307692308,0,Pasadena,Single-Family Residential,Suburban residential,True,Incorporated
28012 Seashell Way,Rancho Palos Verdes,2090000,2447.0,8054.0,3.2913771965672254,0,Rancho Palos Verdes,Residential Single - Lot > 10;000 Square Feet,Suburban residential,True,Incorporated
2864 Haughton Dr,San Jose,1399000,1320.0,6000.0,4.545454545454546,0,San Jose,R-1-8,Suburban residential,True,Incorporated
8701 Davona Dr,Dublin,1349000,1464.0,7000.0,4.781420765027322,0,Dublin,R-1,Suburban residential,True,Incorporated
8398 Shoup Ave,West Hills,1025000,1549.0,11361.0,7.3344092963202066,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
2022 W Spruce Ave,Orange,1149500,1642.0,6200.0,3.7758830694275276,0,Orange,Single Family Res. 6000 sq ft,Suburban residential,True,Incorporated
554 S Elder St,Anaheim,895000,1390.0,6342.0,4.562589928057554,0,Anaheim,RS-2,Suburban residential,True,Incorporated
2537 Dos Rios Dr,San Ramon,1450000,1673.0,10005.0,5.980274955170352,0,San Ramon,ZM-RS-10,Suburban residential,True,Incorporated
3641 Shenandoah Ct,Pleasanton,1550000,1744.0,7335.0,4.205848623853211,1,Pleasanton,Single Family Residential,Suburban residential,True,Incorporated
485 Wilaneta Ave,Fremont,2095000,1906.0,5973.0,3.133788037775446,0,Fremont,R-1-6,Suburban residential,True,Incorporated
15049 Kesterson St,San Leandro,850000,1061.0,5520.0,5.202639019792649,0,San Leandro,Residential Single-Family,Suburban residential,True,Incorporated
5364 E Daggett St,Long Beach,910000,1164.0,7004.0,6.017182130584192,1,Long Beach,R-1-N,Suburban residential,True,Incorporated
2681 Sycamore Grove Pl,San Jose,2488000,2332.0,9171.0,3.9326758147512866,0,San Jose,A(PD),Planned area,True,Incorporated
782 Manzanita Ave,Sunnyvale,1499000,1365.0,5001.0,3.6637362637362636,0,Sunnyvale,R0,Suburban residential,True,Incorporated
5860 Allen Ave,San Jose,1525000,1720.0,6090.0,3.5406976744186047,0,San Jose,R-1-8,Suburban residential,True,Incorporated
1311 N Griffith Park Dr,Burbank,995000,1095.0,6059.0,5.533333333333333,1,Burbank,(R-1) Residential Single Family,Suburban residential,True,Incorporated
8071 Taylor Dr,Huntington Beach,1298000,1484.0,6360.0,4.285714285714286,0,Huntington Beach,Residential Low Density,Suburban residential,True,Incorporated
3721 W 181st St,Torrance,1150000,1480.0,5224.0,3.5297297297297296,0,Torrance,R1,Suburban residential,True,Incorporated
11531 Bexley Dr,Whittier,769000,1130.0,5678.0,5.024778761061947,0,LAN,Single-Family Residence,Suburban residential,True,Incorporated
3448 Coolheights Dr,Rancho Palos Verdes,2780000,2478.0,11034.0,4.452784503631961,0,Rancho Palos Verdes,"Residential Single - Lot > 13;000 Square Feet
",Suburban residential,True,Incorporated
1186 McClellan Dr,Los Angeles,1745000,1538.0,5339.0,3.4713914174252274,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
1263 Flickinger Ave,San Jose,1395000,1168.0,6000.0,5.136986301369863,0,San Jose,A(PD),Planned area,True,Incorporated
